"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RRNAD1",289.212668644014,0.561836862975877,0.207390306129448,2.70907967426979,0.00674701352072751,0.0208663243264353
"AKTIP",458.060134367121,0.568152416286359,0.209742755757038,2.70880590958048,0.00675258294720032,0.0208742923632028
"CDK5R2",295.640928852912,-0.558896388869027,0.206327903144621,-2.70877753493808,0.0067531604327977,0.0208742923632028
"VPS25",1982.23264952803,0.355004084996729,0.131057442477066,2.70876707409312,0.00675337334491004,0.0208742923632028
"TRIP11",1038.87014535308,0.386066824876946,0.142554509472593,2.70820492669977,0.00676482374423425,0.0209057809213154
"AVL9",964.822030739144,-0.410775421039954,0.151713739435523,-2.70756902155543,0.00677779754800448,0.020941964721779
"FOXN3",1072.68748243149,0.387147172948373,0.142999282445937,2.70733647278783,0.00678254761360535,0.0209502164964463
"ZCCHC9",945.972152698639,-0.417129058096386,0.154074852106376,-2.7073143500952,0.00678299964985838,0.0209502164964463
"COPS3",2440.24179747419,-0.362052957338185,0.133736581602259,-2.70720959815583,0.00678514042937944,0.0209529187289344
"SLIT1",18.7866585214545,2.13676387665822,0.789336158204061,2.70703914225835,0.00678862527614873,0.0209597697390065
"PRKXP1",203.102604988569,-0.721972907260296,0.266759219548613,-2.70645906252821,0.00680049663813873,0.0209925065935234
"CDC34",3128.77316992182,-0.332896948223006,0.123048868958388,-2.70540437340861,0.00682212871035692,0.02105535603465
"TMTC1",7.18674300363457,4.90301891507893,1.81252673219375,2.70507398759558,0.00682891775523824,0.0210723800679909
"KIAA1683",39.4645406752935,1.45974701628297,0.539680855494097,2.70483379468135,0.00683385725120856,0.0210836915604854
"FAM73B",633.505745470698,0.46517439140457,0.172002522848811,2.70446260729243,0.00684149692392873,0.0211033278205122
"SRRM1",2338.89655024045,-0.335974802366825,0.124234431527998,-2.70436140959126,0.00684358107692352,0.0211058233622579
"SRSF3",7491.51407226982,-0.307370020994388,0.113675416612666,-2.70392693647837,0.00685253547578936,0.0211295020855562
"IDH3B",3107.08633199123,-0.328749042434451,0.121641008208655,-2.70261688287338,0.00687959916437436,0.0212090008136942
"HOXB7",94.1146598727852,0.905145095733975,0.335000145983462,2.70192448148563,0.00689394186550676,0.0212492599176663
"TXNL4A",3237.55377230251,-0.327318208199292,0.121150967895438,-2.70173828476378,0.00689780340526165,0.0212572038659264
"PCCA",346.239440627774,0.551876420784566,0.204300682235974,2.70129504583411,0.00690700357121,0.0212815940265577
"RNF167",2263.728425325,-0.345796930706353,0.128032979096661,-2.70084265121478,0.00691640514490258,0.0213065955627075
"EIF3A",9765.4797931271,-0.314899030253786,0.116597109559251,-2.700744739249,0.00691844144426875,0.0213089026396606
"C1orf159",541.083449292843,-0.478636781882694,0.17723474080093,-2.70058104703242,0.00692184699462927,0.021315425386996
"VPS72",1507.69844294977,-0.410183012971635,0.151990373623806,-2.69874336901682,0.00696018261957446,0.0214294908331839
"FAM73A",145.252244238108,-0.810368446395422,0.300347403647921,-2.69810371773804,0.00697357099862505,0.0214667188337813
"MUC20",178.20239220766,0.812465221186683,0.301239780625839,2.69707148072791,0.00699522527761747,0.0215293731489633
"CCDC138",186.545221305948,-0.66901428315864,0.248110744559321,-2.69643414414359,0.00700862546638097,0.021566605078925
"SNORD86",49.7787313484762,-1.27277927087981,0.472084668081533,-2.6960826244414,0.00701602613095598,0.0215853651523389
"MED9",582.289004835353,-0.45354501348615,0.168244870185387,-2.69574348975035,0.00702317270022401,0.0216033366538019
